,gameid,epochTime,roundNum,sender,contents
75,1335-1ca93459-779e-4930-a18c-6077a00ed72b,1501097569223,0,演说者,我已经等待了将近25分钟了，我应该怎么办？
374,8444-6d997204-8828-40b7-bbf6-c0645a0cbd0d,1501303782290,1,演说者,我这边没有荧幕出来！下面还写着“等待另一人连接。。。”
377,8444-6d997204-8828-40b7-bbf6-c0645a0cbd0d,1501303900763,1,倾听者,其实我是这饰演的经历。你的workerID是什么？我会帮你赔偿
379,8444-6d997204-8828-40b7-bbf6-c0645a0cbd0d,1501303961183,1,演说者,我的worker ID是***REMOVED***
392,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60,1501422538798,3,倾听者,我这边有两个绿色，是不是更亮一点的那个?
453,7896-f060947b-7bdc-451b-9139-f3540bb3c3ef,1501452640416,1,演说者,lmao it's the color of a pencil
455,7896-f060947b-7bdc-451b-9139-f3540bb3c3ef,1501452666897,1,演说者,a very dull color
489,7088-659baa26-46e1-4ff5-86e3-c31fe4ba4bab,1501607953690,1,演说者,在两个比较接近的颜色中深色的那一个
630,4286-9e734173-eddb-47a8-b78f-bad48cfe5449,1502072401471,3,演说者,这是一个大多数女生都喜欢的可爱的颜色
634,4286-9e734173-eddb-47a8-b78f-bad48cfe5449,1502072573964,6,演说者,这个颜色在你所看到的三个颜色里最亮
635,4286-9e734173-eddb-47a8-b78f-bad48cfe5449,1502072630047,7,演说者,你会看到两种特别接近的大地色， 相比之下深一些的颜色是你应该选的
636,4286-9e734173-eddb-47a8-b78f-bad48cfe5449,1502072695597,8,演说者,两种颜色相近的大地色， 选择有一些微黄的颜色
674,4286-9e734173-eddb-47a8-b78f-bad48cfe5449,1502073476029,31,演说者,两个绿色，你要选的是那个有提亮的绿色
903,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011,1502246062410,25,倾听者,有两种偏红的棕色，是比较深还是比较浅的那个？
971,4304-0a6471c9-b6e3-4df3-9257-13c0310185d6,1502253371070,19,倾听者,感觉快到五十度灰色了。。。。。。。
1284,3842-59433277-9f89-4c62-912e-6a1736577c31,1502376389462,7,倾听者,我不是 如果有地方不明白请见谅 哈哈哈
1286,3842-59433277-9f89-4c62-912e-6a1736577c31,1502376422978,8,演说者,没关系，我会尽量用最极端最简单的方式描述颜色
1338,3842-59433277-9f89-4c62-912e-6a1736577c31,1502377101103,23,演说者,玩完你就得等他们发工资，然后再来玩儿
1373,3842-59433277-9f89-4c62-912e-6a1736577c31,1502377574075,39,演说者,橙色，不是最亮的黄，也不是偏土黄色
1628,8976-a41db654-9387-4361-aff5-ff68d9291ae9,1502429870509,3,倾听者,( •_•)O*¯`·.¸.·´¯`°Q(•_• )
1669,8976-a41db654-9387-4361-aff5-ff68d9291ae9,1502430681910,19,倾听者,are you an english speaker?
1678,8976-a41db654-9387-4361-aff5-ff68d9291ae9,1502430897959,25,倾听者,诶，你在做什么？目标颜不是绿色，是红色
1852,2275-84bdaee9-3981-4598-bae8-51c437493402,1502617625724,0,演说者,快1个小时了!还没有配对。之前的说明说的是15分钟配对不成就自动退出且accept啊
2077,8805-5f3bc59e-a50f-4bb9-9d89-446cea4dba8a,1502818859305,23,演说者,红 绿色 紫色 灰色 深绿色 蓝色 绿色灰色 亮粉色 黄色 浅褐色 橙色
2219,8362-765c8be0-1e26-45e2-a620-0d4337084ece,1502842636203,21,演说者,這個ikea家具會看到的顏色 是黃黃的
2272,8362-765c8be0-1e26-45e2-a620-0d4337084ece,1502843036850,35,演说者,好 所以 我說螢光 就是你想像中的另一種 哈哈哈
2306,8362-765c8be0-1e26-45e2-a620-0d4337084ece,1502843331613,42,演说者,很紫 但................
2308,8362-765c8be0-1e26-45e2-a620-0d4337084ece,1502843335478,42,演说者,她.......................
2341,8362-765c8be0-1e26-45e2-a620-0d4337084ece,1502843623557,50,倾听者,好好吃饭 我是马来西亚人 很高兴和你合作 
2472,5427-0b6cdb6c-56ea-486b-8673-ade0f9309d47,1502892079977,0,演说者,演说者: 草地 不深也不浅 演说者: ？
2551,4738-2c1092b5-9c47-4d59-b0c0-68a02a55a810,1502902527054,0,演说者,Thank you very much.
2608,2466-8534cbb0-851f-4a9d-a907-ee8890aa54e7,1502914055952,1,演说者,请尽我所能发送你的颜色名称，你只是匹配所有这些颜色。
3003,8888-7cab5c35-7c08-4f22-9ab7-c942e59cff28,1503034547541,0,演说者,我是演说者，一直等待，但没有倾听者连接。
3004,8888-7cab5c35-7c08-4f22-9ab7-c942e59cff28,1503035149926,0,演说者,这个游戏已经过期了，我从晚上中部时间10:36pm 一直等待另一个人连接来玩这个游戏，但是一直没人来连接。游戏规则说我的HIT会自动批准，还会用金钱补偿我的等待。
3031,9736-4fa6a53a-dd64-4764-9644-4346ba0cdef5,1503099764632,10,演说者,依照你剛剛選的「紫色」...這就是那個紫色
3032,9736-4fa6a53a-dd64-4764-9644-4346ba0cdef5,1503099778687,10,演说者,我會說 桃紅，但我依照你對紫色的定義
3561,9542-a415f736-f397-4b9d-967d-d337195081f4,1503572546748,0,演说者,Nǐ shì yǎnshuō zhě. Sòng xùnxí ràng qīngtīng zhě quèdìng mùbiāo yánsè.
3563,8772-e2445b40-8abb-48c1-ad66-fde2830252bb,1503593711924,0,演说者,when will the game start?
3564,8772-e2445b40-8abb-48c1-ad66-fde2830252bb,1503593720987,0,演说者,it's been 15 min already...
3716,0740-53a2d949-8a2f-48ca-a4d6-f80f8c3c3665,1503945778143,36,演说者,不接近绿，也不接近紫，最接近灰？ 如果还不确定可以在问我细节
3926,7465-655f24f2-9a4a-4496-bb44-627876bc6e66,1504050893474,0,演说者,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
4212,3264-a6cb1ac5-8861-4de5-a08c-103ecd70a22a,1504110970648,2,倾听者,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
5162,4263-f2b201a0-3810-442b-a36d-5bc51b2f046d,1504672533106,0,演说者,What is this? Keep waiting?
5163,4263-f2b201a0-3810-442b-a36d-5bc51b2f046d,1504672585929,0,演说者,It's really wasting my time. You guys should improve your survey.
5169,3057-34e1f5bf-2e0c-4136-9d16-b9813a54f1a7,1504673886805,1,倾听者,Yes. I will try my best.
5170,3057-34e1f5bf-2e0c-4136-9d16-b9813a54f1a7,1504673954875,1,演说者,这是彩色游戏。 我给你发一些你搜索这种颜色的颜色名称。 好。
